name,lat,lng,link,photoURL,status,description,price,facilities
Reykjavík Campsite,64.127511,-21.851658,https://reykjavikcampsite.is/,https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800,open,City campsite with excellent facilities near downtown Reykjavík,2000,Shower; Toilet; Kitchen; WiFi; Laundry
Skaftafell Campsite,64.016598,-16.968582,https://www.vatnajokulsthjodgardur.is/en,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800,open,Campsite in Vatnajökull National Park with stunning mountain views,1500,Toilet; Shower; Information center
Þórsmörk Campsite,63.693195,-19.510651,https://www.volcano-huts.com/,https://images.unsplash.com/photo-1537225228614-56cc3556d7ed?w=800,open,Beautiful campsite in Þórsmörk valley between glaciers,1800,Toilet; Shower; Kitchen; Shelter
Landmannalaugar Campsite,63.987951,-19.058285,https://www.fi.is/en/huts-and-campsites,https://images.unsplash.com/photo-1478827536114-da961b7f86c5?w=800,open,Highland campsite with natural hot springs and colorful mountains,2000,Toilet; Shower; Hot spring; Shop
Mývatn Campsite,65.598653,-16.916903,https://www.visitmyvatn.is/,https://images.unsplash.com/photo-1499363536502-87642509e31b?w=800,open,Campsite by Lake Mývatn with volcanic landscapes,1600,Toilet; Shower; Kitchen; WiFi
Akureyri Campsite,65.676834,-18.093461,https://visitakureyri.is/en/see-and-do/camping,https://images.unsplash.com/photo-1487730116645-74489c95b41b?w=800,open,Town campsite in the capital of North Iceland,1700,Shower; Toilet; Kitchen; WiFi; Playground
Höfn Campsite,64.254158,-15.207586,https://www.hofn.is/,https://images.unsplash.com/photo-1476041800959-2f6bb412c8ce?w=800,open,Coastal campsite near Vatnajökull glacier and Jökulsárlón,1400,Toilet; Shower; Kitchen; Laundry
Vík Campsite,63.418076,-19.006853,https://www.vik.is/en/,https://images.unsplash.com/photo-1533577116850-9cc66cad8a9b?w=800,open,Campsite in the southernmost village with black sand beaches,1500,Shower; Toilet; Kitchen; WiFi
Borgarnes Campsite,64.540695,-21.916893,https://www.borgarnes.is/,https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800,open,Quiet campsite in West Iceland with ocean views,1300,Toilet; Shower; Playground
Egilsstaðir Campsite,65.264219,-14.395603,https://www.egilsstadir.is/en/,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?w=800,open,Campsite in East Iceland's main town,1400,Shower; Toilet; Kitchen; WiFi
